"Patente","N° Tarjetas","N° Transacciones","Cantidad (Unidad)","Monto ($)","Rendimiento Promedio"
"BFPP-86     ","3","2","365,57","518.173","0"
"CHHK-17     ","1","1","244,27","357.848","0,16"
"CPSG-36     ","2","9","1662,47","2.343.408","0,99"
"DKPG-54     ","1","1","207,63","279.881","0,2"
"DPFK-13     ","2","9","1300,18","1.837.308","0,61"
"DZJY-31     ","2","2","125,76","176.829","4,43"
"FBKS-63     ","2","1","59,79","86.337","11,46"
"FZFS-26     ","2","6","3182,75","4.459.503","2,16"
"GBTX-84     ","2","4","215,69","302.038","6,33"
"JFDB-88     ","3","11","1450,91","2.007.224","0,15"
"JFDB-89     ","1","11","1861,24","2.599.456","0,13"
"JFDB-90     ","1","6","1088,82","1.575.578","0,12"
"JFDR-84     ","4","7","1005,51","1.392.005","0,16"
"JFDR-86     ","1","1","209,51","302.327","0"
"JGZH-29     ","2","2","101,56","140.371","6,33"
"JGZH-30     ","3","1","52,56","76.999","5,48"
"JGZT-91     ","2","2","108,82","152.784","8,17"
"JGZT-92     ","2","3","169,23","244.200","12,43"
"KLHH-93     ","1","5","305,99","422.038","10,15"
"KLJZ-68     ","1","6","2620,1","3.750.292","2,55"
"KLJZ-69     ","2","2","787,59","1.124.589","2,16"
"KRJC-75     ","1","8","3329,15","4.732.097","1,97"
"KSDV-66     ","2","4","196,94","277.437","28,11"
"KTGZ-34     ","2","4","262,83","360.727","11,2"
"KXWD-95     ","2","2","113,92","164.615","0"
"KXZD-19     ","1","9","3040,88","4.293.083","1,85"
"KXZD-20     ","1","9","2867,2","4.016.955","2,21"
"PFJX-24     ","1","1","179,97","263.656","0"
"PFVP-52     ","1","14","4075,92","5.685.901","2,36"
"PGBK-42     ","1","5","1774,4","2.430.609","1,9"
"PSKL-61     ","1","13","2195,76","3.117.256","1,28"
"RBYD-98     ","1","22","3281,18","4.585.577","2,11"
"RFJR-63     ","1","4","212,75","309.870","5,32"
"RTSV-69     ","1","6","400,92","566.096","10,68"
"RWYH-93     ","1","14","428,51","600.550","18,34"
"RXGR-19     ","1","6","1298,88","1.833.718","2,15"
"SBRP-15     ","1","11","611,44","857.431","10,36"
"SGCP-77     ","1","9","3811,54","5.327.732","2,42"
"SGCP-84     ","1","8","3204,14","4.490.372","1,87"
"SJFC-34     ","2","12","3145,03","4.403.459","2,14"
"SJFC-66     ","2","13","3280,56","4.588.153","2,21"
"SRCJ-39     ","1","28","5987,65","8.308.899","2,2"
"SRCJ-42     ","2","16","3193,54","4.536.535","2,36"
"SRCJ-44     ","1","36","7024,45","9.788.668","2,28"
"SRCJ-47     ","1","11","2571,24","3.523.602","2,4"
"STSF-58     ","1","4","220,3","315.479","8,39"
"SZGB-72     ","1","5","286,19","401.403","12,54"
"TBZW-37     ","1","9","490,14","699.814","9,31"
"TDSJ-73     ","1","7","391,14","555.872","7,58"
"TFJX-48     ","1","5","260,72","357.655","5,35"
"TFYJ-62     ","1","7","1690,36","2.393.967","0,29"
"VDGS-52     ","1","1","284,06","416.154","0"
"VHVL-38     ","1","5","361,07","518.639","8,03"
"VPTR-69     ","1","6","353,56","493.946","14,22"
"VVJS-38     ","1","1","294,72","431.769","8,7"
"WK-4542     ","1","3","128,99","188.960","7,76"
"WK-5867     ","1","2","270,76","395.700","14,25"
"ZY-4243     ","1","3","573,14","830.860","2,32"
