--- Uncovered or Partially Covered Files ---
lib/services/ppa.ts: Line Pct: 24.37% (29/119), Branch Pct: 19.64% (33/168), Fn Pct: 30.43%
lib/ppa/badges.ts: Line Pct: 42.86% (9/21), Branch Pct: 27.27% (6/22), Fn Pct: 20.00%
lib/services/purchasing.constants.ts: Line Pct: 50.00% (1/2), Branch Pct: 100.00% (0/0), Fn Pct: 0.00%
lib/services/purchasing.ts: Line Pct: 64.83% (94/145), Branch Pct: 58.04% (65/112), Fn Pct: 64.29%
lib/reports/export.ts: Line Pct: 66.40% (83/125), Branch Pct: 41.83% (64/153), Fn Pct: 52.08%
lib/services/sst.ts: Line Pct: 76.58% (121/158), Branch Pct: 59.46% (110/185), Fn Pct: 69.23%
lib/ppa/types.ts: Line Pct: 85.71% (12/14), Branch Pct: 0.00% (0/4), Fn Pct: 57.14%
lib/services/item-state.ts: Line Pct: 85.71% (126/147), Branch Pct: 72.45% (71/98), Fn Pct: 81.82%
lib/services/sst-alerts.ts: Line Pct: 87.10% (27/31), Branch Pct: 62.50% (5/8), Fn Pct: 100.00%
lib/testing/pglite-migrate.ts: Line Pct: 88.61% (70/79), Branch Pct: 67.24% (39/58), Fn Pct: 66.67%
lib/requests/request-actions.ts: Line Pct: 91.23% (104/114), Branch Pct: 71.82% (79/110), Fn Pct: 100.00%
lib/work-queue.ts: Line Pct: 92.08% (93/101), Branch Pct: 80.49% (99/123), Fn Pct: 93.75%
lib/services/receiving.ts: Line Pct: 93.44% (57/61), Branch Pct: 82.02% (73/89), Fn Pct: 100.00%
lib/hooks/use-hide-on-scroll.ts: Line Pct: 93.55% (29/31), Branch Pct: 90.00% (9/10), Fn Pct: 85.71%
lib/requests/request-service.ts: Line Pct: 93.75% (105/112), Branch Pct: 78.95% (75/95), Fn Pct: 85.71%
lib/services/stock.ts: Line Pct: 94.03% (63/67), Branch Pct: 82.50% (66/80), Fn Pct: 100.00%
lib/pdf/browser-pool.ts: Line Pct: 94.59% (35/37), Branch Pct: 90.00% (9/10), Fn Pct: 81.82%
lib/operaciones/list-query.ts: Line Pct: 95.00% (19/20), Branch Pct: 66.67% (16/24), Fn Pct: 81.82%
lib/services/rate-limit.ts: Line Pct: 95.24% (20/21), Branch Pct: 91.67% (11/12), Fn Pct: 80.00%
lib/services/deliveries.ts: Line Pct: 95.51% (85/89), Branch Pct: 90.63% (116/128), Fn Pct: 83.33%
lib/email/smtp.ts: Line Pct: 96.15% (25/26), Branch Pct: 79.17% (19/24), Fn Pct: 85.71%
lib/services/requests-draft.ts: Line Pct: 96.23% (51/53), Branch Pct: 91.55% (65/71), Fn Pct: 93.33%
lib/services/email-templates.ts: Line Pct: 97.14% (34/35), Branch Pct: 88.00% (22/25), Fn Pct: 93.33%
lib/services/notifications.ts: Line Pct: 97.22% (70/72), Branch Pct: 81.58% (62/76), Fn Pct: 91.30%
lib/services/password-reset.ts: Line Pct: 97.30% (36/37), Branch Pct: 85.71% (12/14), Fn Pct: 87.50%
lib/auth/auth.ts: Line Pct: 98.21% (55/56), Branch Pct: 85.29% (29/34), Fn Pct: 100.00%
lib/env.ts: Line Pct: 100.00% (5/5), Branch Pct: 93.75% (15/16), Fn Pct: 100.00%
lib/id.ts: Line Pct: 100.00% (10/10), Branch Pct: 80.00% (4/5), Fn Pct: 100.00%
lib/logger.ts: Line Pct: 100.00% (53/53), Branch Pct: 96.15% (50/52), Fn Pct: 100.00%
lib/pagination.ts: Line Pct: 100.00% (27/27), Branch Pct: 88.46% (23/26), Fn Pct: 100.00%
lib/rut.ts: Line Pct: 100.00% (14/14), Branch Pct: 90.00% (9/10), Fn Pct: 100.00%
